Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
31-October-2024,149.00,149.95,148.20,148.65,148.902639435876934069,1410756,11475,210065292.00,268672,19.04,1.75,-0.35
30-October-2024,148.35,151.00,148.35,148.95,149.712567910740883335,1028556,9394,153987760.00,293900,28.57,2.65,0.60
29-October-2024,150.00,150.40,146.50,150.05,148.117441372465757972,2018207,19926,298931657.00,599451,29.70,3.90,0.05
28-October-2024,145.85,149.70,144.75,149.45,147.883094657829413143,1416428,11361,209465756.00,386598,27.29,4.95,3.60
25-October-2024,149.10,149.60,144.50,145.80,145.925920011355974307,2986974,41794,435876929.00,1095233,36.67,5.10,-3.30
24-October-2024,149.30,149.90,148.00,149.00,148.963171058558770810,1591683,17634,237102147.00,448314,28.17,1.90,-0.30
23-October-2024,150.15,151.95,148.05,148.80,149.854577191840022051,1951819,25322,292489011.00,640472,32.81,3.90,-1.35
22-October-2024,155.00,155.00,150.15,150.45,152.141254071784329582,1058504,10322,161042126.00,336142,31.76,4.85,-4.55
21-October-2024,156.20,157.85,154.60,155.00,155.429312965738644215,940710,11006,146213909.00,192513,20.46,3.25,-1.20
18-October-2024,152.45,156.20,151.10,155.30,153.976151701086860496,1641333,11729,252726139.00,415642,25.32,5.10,2.85
17-October-2024,155.55,156.30,152.10,152.35,153.802683042767835676,2000639,22945,307703646.00,824422,41.21,4.20,-3.20
16-October-2024,155.75,156.60,154.00,155.25,155.409976842670897250,1954025,19684,303674980.00,738765,37.81,2.60,-0.50
15-October-2024,159.30,159.60,155.00,155.65,156.313677408287183516,1445654,13950,225975493.00,513172,35.50,4.60,-3.65
14-October-2024,162.60,163.35,158.05,158.30,159.717606930694397313,2236659,22844,357233823.00,773368,34.58,5.30,-4.30
11-October-2024,159.55,163.75,159.25,160.70,161.667532745161836794,1487548,15201,240488215.00,326218,21.93,4.50,1.15
10-October-2024,157.35,161.20,156.50,159.65,159.597253609893997942,2539479,17829,405293874.00,1302170,51.28,4.70,2.30
9-October-2024,159.75,162.20,158.15,159.00,160.467809508793232840,1953434,19888,313463275.00,628347,32.17,4.05,-0.75
8-October-2024,162.75,163.10,156.70,159.55,159.135812491344377251,2664453,18478,424009893.00,764251,28.68,6.40,-3.20
7-October-2024,166.80,167.95,162.30,164.30,164.868443898930568702,4055707,46828,668658102.00,2554652,62.99,5.65,-2.50
4-October-2024,166.75,169.10,164.00,166.75,167.006125376596753780,2734689,24819,456709814.00,999158,36.54,5.10,0.00
3-October-2024,165.05,169.95,164.75,166.95,167.813231652066930077,3127682,26947,524866424.00,1261284,40.33,5.20,1.90
1-October-2024,169.50,169.65,165.10,167.00,167.074565812774288636,1818340,34349,303798366.00,428668,23.57,4.55,-2.50
